scene_id,scene_name,scene_variant,pcd_path,obj_id,expected_obj_id,expected_model_path,gt_path,config_path,model_name,gt_threshold
7,Scene7,0.1,data/stanford_bunny_ppf/scenes/Scene7_0.1.ply,5,5,data/stanford_bunny_ppf/models/happy_vrip_res3_0.ply,data/stanford_bunny_ppf/scenes/Scene7-rs0.xf,configs/stanford_retrieval/ConfigScene7.ini,happy_vrip_res3_0.ply,1
7,Scene7,0.3,data/stanford_bunny_ppf/scenes/Scene7_0.3.ply,5,5,data/stanford_bunny_ppf/models/happy_vrip_res3_0.ply,data/stanford_bunny_ppf/scenes/Scene7-rs0.xf,configs/stanford_retrieval/ConfigScene7.ini,happy_vrip_res3_0.ply,1
7,Scene7,0.5,data/stanford_bunny_ppf/scenes/Scene7_0.5.ply,5,5,data/stanford_bunny_ppf/models/happy_vrip_res3_0.ply,data/stanford_bunny_ppf/scenes/Scene7-rs0.xf,configs/stanford_retrieval/ConfigScene7.ini,happy_vrip_res3_0.ply,1
8,Scene8,0.1,data/stanford_bunny_ppf/scenes/Scene8_0.1.ply,2,2,data/stanford_bunny_ppf/models/dragon_vrip_res2_0.ply,data/stanford_bunny_ppf/scenes/Scene8-rs0.xf,configs/stanford_retrieval/ConfigScene8.ini,dragon_vrip_res2_0.ply,1
8,Scene8,0.3,data/stanford_bunny_ppf/scenes/Scene8_0.3.ply,2,2,data/stanford_bunny_ppf/models/dragon_vrip_res2_0.ply,data/stanford_bunny_ppf/scenes/Scene8-rs0.xf,configs/stanford_retrieval/ConfigScene8.ini,dragon_vrip_res2_0.ply,1
8,Scene8,0.5,data/stanford_bunny_ppf/scenes/Scene8_0.5.ply,2,2,data/stanford_bunny_ppf/models/dragon_vrip_res2_0.ply,data/stanford_bunny_ppf/scenes/Scene8-rs0.xf,configs/stanford_retrieval/ConfigScene8.ini,dragon_vrip_res2_0.ply,1
9,Scene9,0.1,data/stanford_bunny_ppf/scenes/Scene9_0.1.ply,2,2,data/stanford_bunny_ppf/models/dragon_vrip_res2_0.ply,data/stanford_bunny_ppf/scenes/Scene9-rs0.xf,configs/stanford_retrieval/ConfigScene9.ini,dragon_vrip_res2_0.ply,1
9,Scene9,0.3,data/stanford_bunny_ppf/scenes/Scene9_0.3.ply,2,2,data/stanford_bunny_ppf/models/dragon_vrip_res2_0.ply,data/stanford_bunny_ppf/scenes/Scene9-rs0.xf,configs/stanford_retrieval/ConfigScene9.ini,dragon_vrip_res2_0.ply,1
9,Scene9,0.5,data/stanford_bunny_ppf/scenes/Scene9_0.5.ply,2,2,data/stanford_bunny_ppf/models/dragon_vrip_res2_0.ply,data/stanford_bunny_ppf/scenes/Scene9-rs0.xf,configs/stanford_retrieval/ConfigScene9.ini,dragon_vrip_res2_0.ply,1
10,Scene10,0.1,data/stanford_bunny_ppf/scenes/Scene10_0.1.ply,4,4,data/stanford_bunny_ppf/models/Armadillo_vres2_small_scaled.ply,data/stanford_bunny_ppf/scenes/Scene10-rs0.xf,configs/stanford_retrieval/ConfigScene10.ini,Armadillo_vres2_small_scaled.ply,1
10,Scene10,0.3,data/stanford_bunny_ppf/scenes/Scene10_0.3.ply,4,4,data/stanford_bunny_ppf/models/Armadillo_vres2_small_scaled.ply,data/stanford_bunny_ppf/scenes/Scene10-rs0.xf,configs/stanford_retrieval/ConfigScene10.ini,Armadillo_vres2_small_scaled.ply,1
10,Scene10,0.5,data/stanford_bunny_ppf/scenes/Scene10_0.5.ply,4,4,data/stanford_bunny_ppf/models/Armadillo_vres2_small_scaled.ply,data/stanford_bunny_ppf/scenes/Scene10-rs0.xf,configs/stanford_retrieval/ConfigScene10.ini,Armadillo_vres2_small_scaled.ply,1
11,Scene11,0.1,data/stanford_bunny_ppf/scenes/Scene11_0.1.ply,5,5,data/stanford_bunny_ppf/models/happy_vrip_res3_0.ply,data/stanford_bunny_ppf/scenes/Scene11-rs0.xf,configs/stanford_retrieval/ConfigScene11.ini,happy_vrip_res3_0.ply,1
11,Scene11,0.3,data/stanford_bunny_ppf/scenes/Scene11_0.3.ply,5,5,data/stanford_bunny_ppf/models/happy_vrip_res3_0.ply,data/stanford_bunny_ppf/scenes/Scene11-rs0.xf,configs/stanford_retrieval/ConfigScene11.ini,happy_vrip_res3_0.ply,1
11,Scene11,0.5,data/stanford_bunny_ppf/scenes/Scene11_0.5.ply,5,5,data/stanford_bunny_ppf/models/happy_vrip_res3_0.ply,data/stanford_bunny_ppf/scenes/Scene11-rs0.xf,configs/stanford_retrieval/ConfigScene11.ini,happy_vrip_res3_0.ply,1
12,Scene12,0.1,data/stanford_bunny_ppf/scenes/Scene12_0.1.ply,6,6,data/stanford_bunny_ppf/models/xyzrgb_statuette_vr3_small_scaled.ply,data/stanford_bunny_ppf/scenes/Scene12-rs0.xf,configs/stanford_retrieval/ConfigScene12.ini,xyzrgb_statuette_vr3_small_scaled.ply,1
12,Scene12,0.3,data/stanford_bunny_ppf/scenes/Scene12_0.3.ply,6,6,data/stanford_bunny_ppf/models/xyzrgb_statuette_vr3_small_scaled.ply,data/stanford_bunny_ppf/scenes/Scene12-rs0.xf,configs/stanford_retrieval/ConfigScene12.ini,xyzrgb_statuette_vr3_small_scaled.ply,1
12,Scene12,0.5,data/stanford_bunny_ppf/scenes/Scene12_0.5.ply,6,6,data/stanford_bunny_ppf/models/xyzrgb_statuette_vr3_small_scaled.ply,data/stanford_bunny_ppf/scenes/Scene12-rs0.xf,configs/stanford_retrieval/ConfigScene12.ini,xyzrgb_statuette_vr3_small_scaled.ply,1
13,Scene13,0.1,data/stanford_bunny_ppf/scenes/Scene13_0.1.ply,2,2,data/stanford_bunny_ppf/models/dragon_vrip_res2_0.ply,data/stanford_bunny_ppf/scenes/Scene13-rs0.xf,configs/stanford_retrieval/ConfigScene13.ini,dragon_vrip_res2_0.ply,1
13,Scene13,0.3,data/stanford_bunny_ppf/scenes/Scene13_0.3.ply,2,2,data/stanford_bunny_ppf/models/dragon_vrip_res2_0.ply,data/stanford_bunny_ppf/scenes/Scene13-rs0.xf,configs/stanford_retrieval/ConfigScene13.ini,dragon_vrip_res2_0.ply,1
13,Scene13,0.5,data/stanford_bunny_ppf/scenes/Scene13_0.5.ply,2,2,data/stanford_bunny_ppf/models/dragon_vrip_res2_0.ply,data/stanford_bunny_ppf/scenes/Scene13-rs0.xf,configs/stanford_retrieval/ConfigScene13.ini,dragon_vrip_res2_0.ply,1
14,Scene14,0.1,data/stanford_bunny_ppf/scenes/Scene14_0.1.ply,4,4,data/stanford_bunny_ppf/models/Armadillo_vres2_small_scaled.ply,data/stanford_bunny_ppf/scenes/Scene14-rs0.xf,configs/stanford_retrieval/ConfigScene14.ini,Armadillo_vres2_small_scaled.ply,1
14,Scene14,0.3,data/stanford_bunny_ppf/scenes/Scene14_0.3.ply,4,4,data/stanford_bunny_ppf/models/Armadillo_vres2_small_scaled.ply,data/stanford_bunny_ppf/scenes/Scene14-rs0.xf,configs/stanford_retrieval/ConfigScene14.ini,Armadillo_vres2_small_scaled.ply,1
14,Scene14,0.5,data/stanford_bunny_ppf/scenes/Scene14_0.5.ply,4,4,data/stanford_bunny_ppf/models/Armadillo_vres2_small_scaled.ply,data/stanford_bunny_ppf/scenes/Scene14-rs0.xf,configs/stanford_retrieval/ConfigScene14.ini,Armadillo_vres2_small_scaled.ply,1
15,Scene15,0.1,data/stanford_bunny_ppf/scenes/Scene15_0.1.ply,6,6,data/stanford_bunny_ppf/models/xyzrgb_statuette_vr3_small_scaled.ply,data/stanford_bunny_ppf/scenes/Scene15-rs0.xf,configs/stanford_retrieval/ConfigScene15.ini,xyzrgb_statuette_vr3_small_scaled.ply,1
15,Scene15,0.3,data/stanford_bunny_ppf/scenes/Scene15_0.3.ply,6,6,data/stanford_bunny_ppf/models/xyzrgb_statuette_vr3_small_scaled.ply,data/stanford_bunny_ppf/scenes/Scene15-rs0.xf,configs/stanford_retrieval/ConfigScene15.ini,xyzrgb_statuette_vr3_small_scaled.ply,1
15,Scene15,0.5,data/stanford_bunny_ppf/scenes/Scene15_0.5.ply,6,6,data/stanford_bunny_ppf/models/xyzrgb_statuette_vr3_small_scaled.ply,data/stanford_bunny_ppf/scenes/Scene15-rs0.xf,configs/stanford_retrieval/ConfigScene15.ini,xyzrgb_statuette_vr3_small_scaled.ply,1
16,Scene16,0.1,data/stanford_bunny_ppf/scenes/Scene16_0.1.ply,5,5,data/stanford_bunny_ppf/models/happy_vrip_res3_0.ply,data/stanford_bunny_ppf/scenes/Scene16-rs0.xf,configs/stanford_retrieval/ConfigScene16.ini,happy_vrip_res3_0.ply,1
16,Scene16,0.3,data/stanford_bunny_ppf/scenes/Scene16_0.3.ply,5,5,data/stanford_bunny_ppf/models/happy_vrip_res3_0.ply,data/stanford_bunny_ppf/scenes/Scene16-rs0.xf,configs/stanford_retrieval/ConfigScene16.ini,happy_vrip_res3_0.ply,1
16,Scene16,0.5,data/stanford_bunny_ppf/scenes/Scene16_0.5.ply,5,5,data/stanford_bunny_ppf/models/happy_vrip_res3_0.ply,data/stanford_bunny_ppf/scenes/Scene16-rs0.xf,configs/stanford_retrieval/ConfigScene16.ini,happy_vrip_res3_0.ply,1
17,Scene17,0.1,data/stanford_bunny_ppf/scenes/Scene17_0.1.ply,5,5,data/stanford_bunny_ppf/models/happy_vrip_res3_0.ply,data/stanford_bunny_ppf/scenes/Scene17-rs0.xf,configs/stanford_retrieval/ConfigScene17.ini,happy_vrip_res3_0.ply,1
17,Scene17,0.3,data/stanford_bunny_ppf/scenes/Scene17_0.3.ply,5,5,data/stanford_bunny_ppf/models/happy_vrip_res3_0.ply,data/stanford_bunny_ppf/scenes/Scene17-rs0.xf,configs/stanford_retrieval/ConfigScene17.ini,happy_vrip_res3_0.ply,1
17,Scene17,0.5,data/stanford_bunny_ppf/scenes/Scene17_0.5.ply,5,5,data/stanford_bunny_ppf/models/happy_vrip_res3_0.ply,data/stanford_bunny_ppf/scenes/Scene17-rs0.xf,configs/stanford_retrieval/ConfigScene17.ini,happy_vrip_res3_0.ply,1
